Start Time : 2023-04-21 17:11:27
Frame	Time	Battery voltage	Ignition switch condition	First EGR closed position (AD Conversion)	Fuel Temp Sensor (physical Value)	Turbine inlet temperature (physical value)	EGR valve duty cycle	Brake switch condition	State variable showing the condition of the engine	Coolant temp (physical value)	Engine speed	Number of MDP update failed	Number of MDP update succeed	Total soot mas inside the DPF calulated based on model	Transmission oil temp switch condition	Oil pressure	Pedal position	Atmospheric pressure	Pedal position from potentiometer track 1	Pedal position from potentiometer track 2	Hand pedal position from potentiometer track 1	Hand pedal position from potentiometer track 2	Fuel filter feedback (AD conversion)	Turbine inlet preesure (estimate)	SCR outlet temperature	EGR rate position (demand value)	Throttle valve duty cycle	After fuel quantity (demand)	Total fuel injection quantity	Main fuel injection quantity	Pilot 1 fuel inection quantity	Pilot 2 fuel inection quantity	Post 1 fuel inection quantity	Post 2 fuel inection quantity	Injection balancing delta speed of Cyliner 1	Injection balancing delta speed of Cyliner 3 (D18 = Injector 2)	Injection balancing delta speed of Cyliner 4 (D18 = Injector 3)	Injection balancing delta speed of Cyliner 2	After injection condition	Main injection timing	Pilot1 injection timing demand	Pilot2 injection timing demand	Post1 injection timing demand	Post2 injection timing demand	Rail pressure (demand value)	Rail pressure gap (demand vs actual feedback)	Actual fast indicated mean effective pressure	Actual slow indicated mean effective pressure	Desired fast indicated mean effective pressure	Desired slow indicated mean effective pressure	Idle speed target	Maximum indicated torque	Brake Lamp Switch condition	Oil pressure warning lamp condition	Inching pedal switch condition	Multi torque switch condition	Parking Brake switch condition	PTO switch condition	Water in fuel filter condition	Emergency Switch condition	Total engine running time	Total fuel used by the engine	Total vehicle run time	IMV current demand	Cluth switch condition	EGR valve position	Air mass flow (1 injection cycle)	EGR valve position (AD Conversion)	Manifold air pressure (raw)	Rail pressure (raw)	Intake manifold temperature	Throttle feedback position from AD Conversion	Regeneration state	Glow plugs condition	Ambient temperature	Throttle position (desired)	Actual engine brake torque	Actual indicated torque	Intake port air mass flow	Intake port air mass flow (speed)	Oil pressure	Output temperature from cnts linearization map	SCR inlet temperature	DOC in temperature	Target DOC out temperature (DeSox Mode)	Regen switch is the inhibited state	Air/Fuel ratio	Intake air estimation	EGR valve duty rate (desired)	EGR rate (Intake port)	DeSOx state	Check engine lamp condition	Glow plug warning lamp signal condition	MIL Lamp condition	Supply Module external ambient temperature	Fuel filter pressure	Cam sensor APS value	Cam sensor condition	Crank Sensor APS value	Crank sensor condition	Cam & Crank sensor communicating	IMV current feedback	SCR inducement - fault code repeat state	SCR inducement - speed scaler	SCR inducement - torque scaler	SCR inducement - state	Max torque value	Reduce torque value	Smoke Limit Active condition	Atmospheric pressure	Coolant temp (AD Conversion)	Turbine inlet temperature (AD Conversion)	Manifold air pressure sensor (AD Conversion)	Air mass flow (Feedback)	Fuel tank level	Intake air temperature (Feedback)	Actual Throttle feedback position from AD Conversion	Engine running time (1 driving cycle)	Requested Engine Speed	Filtered EGR flow correction fraction during fail diagnosis conditions	EGR flow diagnosis enabled	Non-corrected intake port fresh air flow	Value of period signal (HFM AMF)	
		P_L_Battery_raw	P_L_Ignition_switch	P_L_Egr_close_pos_mean_nvv	P_L_Fuel_temp_raw	P_L_Turb_in_temp_raw	ACM_EGR_VALVE_DRIVE_DUTY_CYCLE	IN_Brake_switch	SMC_ENGINE_STATE	P_L_Coolant_temperature	IN_Engine_cycle_speed	I_C_Mdp_nb_update_failure_nvv	I_C_Mdp_nb_update_success_nvv	P_T_Dpf_model_soot_mass_nvv	ICV_Oil_trans_temp_switch	IN_Oil_pressure	IN_Pedal_position	P_L_Atmosp_raw	P_L_Pedal_foot_t1_raw	P_L_Pedal_foot_t2_raw	P_L_Pedal_hand_t1_raw	P_L_Pedal_hand_t2_raw	P_L_Wif_feedback_cnts	PSE_Turbine_in_press_est	TSE_Dpf_out_temp	ACM_Egr_position_dmnd	ACM_Throt_duty_cycle	FQD_Chkd_after_fuel_dmnd	FQD_Chkd_inj_fuel_dmnd	FQD_Chkd_main_fuel_dmnd	FQD_Chkd_pilot1_fuel_dmnd	FQD_Chkd_pilot2_fuel_dmnd	FQD_Chkd_post1_fuel_dmnd	FQD_Chkd_post2_fuel_dmnd	IN_Bal_delta_speed[0]	IN_Bal_delta_speed[1]	IN_Bal_delta_speed[2]	IN_Bal_delta_speed[3]	ITD_Chkd_after_hyd_us_sep	ITD_Chkd_main_hyd_timing	ITD_Chkd_pilot1_hyd_timing	ITD_Chkd_pilot2_hyd_timing	ITD_Chkd_post1_hyd_timing	ITD_Chkd_post2_hyd_timing	RPC_Rail_pressure_dmnd	RPC_Rail_pressure_error	T_D_Actual_fast_imep	T_D_Actual_slow_imep	T_D_Dsrd_fast_imep	T_D_Dsrd_slow_imep	T_D_Idle_target	T_D_Max_indicated_torque	ICI_Brake_lamp_output	ICI_Oil_pressure_lamp_output	IN_Engine_speed_limit_active	IN_Multiple_torque_state	IN_Park_brake_switch	IN_Pto_switch	IN_Water_in_fuel_state	P_L_Emergency_switch_active	EUD_Engine_run_time_total_nvv	EUD_Engine_total_fuel_nvv	EUD_Vehicle_run_time_total_nvv	RPC_Im_crt_dmnd	IN_Clutch_switch	IN_Egr_position	IN_Inlet_air_flow	P_L_Egr_feedback_pos_cnts	P_L_MAP_RAW	P_L_RAIL_PRES_RAW	P_L_T2_temp_raw	P_L_Thrtl_feedback_abs_pos	P_T_REGEN_STATE	SAC_Glow_plug_output	TSE_Ambient_air_temp	ACM_Throt_desired_pos	T_D_Actual_brake_torque	T_D_Actual_indicated_torque	ACM_INTAKE_PORT_AIR_FLOW_MAF	ACM_INTAKE_PORT_AIR_FLOW_SPD	P_L_OIL_PRESSURE	P_L_OIL_TEMPERATURE	TSE_Dpf_in_temp	TSE_Doc_in_temp	FQD_DPF_REGEN_TARGET_TEMP	P_L_DPF_REGEN_INHIBITED	AFC_Air_fuel_ratio	ACM_Air_estimation_raw_error	ACM_EGR_RATE_DESIRED	ACM_EGR_RATE	P_L_Dpf_regen_forced	ICI_CE_LAMP_OUTPUT	ICI_Glow_plug_lamp_output	ICI_Mi_lamp_output	IN_Ext_air_temp	IN_Fuel_filter_pressure	P_L_Aps_cam_period	P_L_aps_cam_valid	P_L_Aps_crank_period	P_L_aps_crank_valid	P_L_aps_sync_tasks_enabled	P_L_Im_crt_fb	T_D_Induc_glob_repeat_active	T_D_Induc_speed_scaler_nvv	T_D_Induc_torq_scaler_nvv	T_D_Inducement_global_state	T_D_Max_brake_torque	T_D_Reduced_torque	T_D_Smoke_limit_active	IN_Atmospheric_pressure	P_L_Coolant_temp_cnts	P_L_Turb_in_temp_cnts	P_L_Map_cnts	IN_Amf_feedback	IN_Fuel_tank_level	P_L_Inlet_air_temp_raw	P_L_Thrtl_feedback_pos_cnts	SMC_Engine_running_time_cpy	T_D_Vdg_tsc1_req_speed	ACM_Egr_flow_corr_fract_filt	ACM_Egr_flow_diag_ena	ACM_Intake_port_air_flow_raw_spd	P_L_Amf_period	
		V		ADcnt	deg F	deg F	%			deg F	rpm	-	-	g	FALSE/TRUE	psi	%	psi	%	%	%	%	ADcnt	psi	deg F	%	%	mg/stroke	mg/stroke	mg/stroke	mg/stroke	mg/stroke	mg/stroke	mg/stroke	rpm	rpm	rpm	rpm	us	edeg	edeg	edeg	edeg	edeg	psi	psi	psi	psi	psi	psi	rpm	Nm	FALSE/TRUE	FALSE/TRUE	T/F		FALSE/TRUE	FALSE/TRUE	FALSE/TRUE	T/F	hour	L	hour	mA		%	g/s	-	psi	psi	deg F	%		FALSE/TRUE	deg F	%	Nm	Nm	g/s	g/s	kPa	deg F	deg F	deg F	deg F			g/s	g/s	g/s		T/F	FALSE/TRUE	FALSE/TRUE	degC	kPa	us	T/F	us	T/F	T/F	mA	T/F	%	%		Nm	Nm	T/F	psi	-	ADcnt	ADcnt	mg/stroke	%	deg F	-	hour	rpm	-	-	g/s	us	
-39	-3.9	12.0	01	805	68.0	291.2	0	00	00	95.0	0	811	2765	23.0	00	27.3	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.294	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	144.38	78.8	153.5	221.0	154.0	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	980	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
-38	-3.8	12.0	01	805	68.0	291.2	0	00	00	95.0	0	811	2765	23.0	00	27.3	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.294	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	144.38	78.8	153.5	221.0	154.0	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	980	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
-37	-3.7	12.0	01	805	68.0	291.2	0	00	00	95.0	0	811	2765	23.0	00	27.3	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.294	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	144.38	78.8	153.5	221.0	154.0	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
-36	-3.6	12.0	01	805	68.0	291.2	0	00	00	95.0	0	811	2765	23.0	00	27.3	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.294	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	144.38	78.8	153.5	221.0	154.0	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
-35	-3.5	12.0	01	805	68.0	291.2	0	00	00	95.0	0	811	2765	23.0	00	27.3	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.294	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	144.38	78.8	153.5	221.0	154.0	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
-34	-3.4	12.0	01	805	68.0	291.2	0	00	00	95.0	0	811	2765	23.0	00	26.1	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.294	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	144.38	78.8	153.5	221.0	154.0	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
-33	-3.3	12.0	01	805	68.0	291.2	0	00	00	95.0	0	811	2765	23.0	00	26.1	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.294	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	144.38	78.8	153.5	221.0	154.0	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
-32	-3.2	12.0	01	805	68.0	291.2	0	00	00	95.0	0	811	2765	23.0	00	26.1	0	11.0	0	0	0.0	0.0	704	13.1	147.2	0	0	0	0	0	0	0	0	0	-80	-76	-92	-76	0.0	-1	9	-1	-255	-255	2175.6	2117.6	0.0	0.0	0.0	0.0	1024	256	00	00	00	00	01	00	00	00	2886.970	17135.31	2945.294	700	00	-0.236	0	804	11.0	0.0	96.8	0.0	00	00	60.8	99	-54.81	0.00	0.00	0.00	144.38	78.8	153.5	221.0	154.0	00	119.53	0.00	0.0000	0.0000	00	00	00	00	25.00	0.00	300000	00	4294967295	00	00	699.56	01	0.0000	0.0000	01	307	181	00	11.0	328	964	260	0	0	69.8	0	0.000	0	1.0000	FALSE	0.000	185	
